File_csv,abstract_avg,section_1_avg,section_2_avg,section_3_avg,section_4_avg,section_5_avg,Cluster
journal.pone.0084205.csv,1.5,19.5,7.0,5.5,5.0,2.5,4
journal.pone.0103418.csv,2.5,3.3,6.6,16.8,8.7,0.3,1
journal.pone.0168520.csv,2.75,4.25,5.5,11.75,8.75,0.0,0
journal.pone.0113192.csv,2.090909090909091,5.181818181818182,2.6363636363636362,15.636363636363637,9.0,0.45454545454545453,0
journal.pone.0102538.csv,2.0,4.0,9.9,9.5,1.7,0.1,0
journal.pone.0066069.csv,3.25,3.875,7.0,8.0,0.625,0.0,0
journal.pone.0053978.csv,3.5,7.333333333333333,8.666666666666666,31.833333333333332,6.666666666666667,2.6666666666666665,3
journal.pone.0216278.csv,2.4285714285714284,4.285714285714286,6.142857142857143,3.0,9.428571428571429,1.5714285714285714,0
journal.pone.0064656.csv,2.5,9.25,6.25,5.25,3.75,12.75,3
journal.pone.0110048.csv,1.8,3.7,4.1,17.3,7.8,0.7,1
journal.pone.0042732.csv,2.0,2.0,2.5714285714285716,2.7142857142857144,5.142857142857143,0.0,1
journal.pone.0180467.csv,1.8461538461538463,2.3846153846153846,3.1538461538461537,8.23076923076923,3.6153846153846154,0.0,1
journal.pone.0060550.csv,3.0,6.0,2.6666666666666665,12.333333333333334,21.0,0.0,0
journal.pone.0217774.csv,3.4444444444444446,3.5555555555555554,6.0,12.555555555555555,18.11111111111111,0.3333333333333333,0
journal.pone.0020606.csv,3.3333333333333335,4.333333333333333,4.0,21.0,5.666666666666667,0.3333333333333333,0
journal.pone.0068483.csv,0.7777777777777778,2.2222222222222223,4.222222222222222,6.888888888888889,6.888888888888889,0.3333333333333333,1
journal.pone.0059110.csv,4.6,9.0,19.4,10.0,17.6,0.0,3
journal.pone.0049303.csv,3.0,5.125,16.75,7.5,4.875,0.0,0
journal.pone.0146030.csv,2.5,4.1,4.0,5.8,9.3,0.2,0
journal.pone.0011197.csv,0.8333333333333334,3.0,2.3333333333333335,5.333333333333333,7.0,2.5,1
journal.pone.0083387.csv,1.9,1.9,1.4,3.9,9.5,0.0,1
journal.pone.0144800.csv,4.75,4.0,5.0,42.5,15.0,0.0,0
journal.pone.0052910.csv,2.1666666666666665,1.6666666666666667,6.5,4.0,4.666666666666667,0.0,1
journal.pone.0130617.csv,3.1666666666666665,11.833333333333334,8.0,6.166666666666667,19.166666666666668,3.5,3
journal.pone.0044196.csv,1.1666666666666667,3.8333333333333335,8.333333333333334,5.833333333333333,5.0,2.0,1
journal.pone.0023118.csv,2.5714285714285716,5.428571428571429,3.857142857142857,6.857142857142857,5.714285714285714,0.0,0
journal.pone.0165171.csv,1.6666666666666667,4.166666666666667,8.833333333333334,9.833333333333334,1.1666666666666667,0.0,0
journal.pone.0189898.csv,2.0,5.0,2.4166666666666665,6.75,3.75,0.6666666666666666,0
journal.pone.0146025.csv,2.5454545454545454,3.272727272727273,3.272727272727273,5.454545454545454,8.818181818181818,0.7272727272727273,1
journal.pone.0069561.csv,2.111111111111111,3.4444444444444446,3.2222222222222223,3.111111111111111,5.666666666666667,1.0,1
journal.pone.0088947.csv,2.2222222222222223,3.0,5.444444444444445,9.666666666666666,4.555555555555555,0.8888888888888888,1
journal.pone.0217985.csv,5.5,4.0,5.75,8.5,11.0,1.5,0
journal.pone.0004014.csv,2.4545454545454546,4.636363636363637,1.7272727272727273,8.0,5.454545454545454,0.0,0
journal.pone.0097668.csv,2.4,4.4,1.8,6.2,1.4,0.4,0
journal.pone.0208696.csv,2.8333333333333335,12.0,4.333333333333333,13.833333333333334,9.166666666666666,0.8333333333333334,3
journal.pone.0154623.csv,2.111111111111111,3.5555555555555554,1.6666666666666667,3.6666666666666665,8.222222222222221,0.0,1
journal.pone.0074322.csv,0.8888888888888888,1.6666666666666667,0.1111111111111111,11.444444444444445,0.6666666666666666,0.2222222222222222,1
journal.pone.0201711.csv,1.875,4.875,7.125,2.375,7.375,0.25,0
journal.pone.0020767.csv,1.2,4.8,7.0,2.6,1.4,2.6,0
journal.pone.0001959.csv,2.6666666666666665,6.0,9.0,13.333333333333334,0.3333333333333333,2.0,0
journal.pone.0138114.csv,4.0,2.0,2.8333333333333335,9.333333333333334,6.833333333333333,1.6666666666666667,1
journal.pone.0141428.csv,0.8333333333333334,1.1666666666666667,6.833333333333333,1.6666666666666667,2.5,3.6666666666666665,1
journal.pone.0082463.csv,2.4,5.2,5.8,8.2,0.4,0.4,0
journal.pone.0091806.csv,1.625,4.125,3.25,8.25,5.5,0.875,0
journal.pone.0144988.csv,3.8333333333333335,4.666666666666667,15.666666666666666,12.0,11.5,0.6666666666666666,0
journal.pone.0082663.csv,0.75,1.625,1.625,1.0,3.0,0.0,1
journal.pone.0185118.csv,3.125,2.25,2.625,9.0,13.625,1.875,1
journal.pone.0114198.csv,2.1818181818181817,3.6363636363636362,4.090909090909091,12.090909090909092,7.818181818181818,0.0,1
journal.pone.0209159.csv,2.8,9.6,5.4,3.6,1.6,1.2,3
journal.pone.0140734.csv,1.625,1.875,1.625,2.375,5.25,0.0,1
journal.pone.0133043.csv,2.230769230769231,3.6923076923076925,5.384615384615385,0.23076923076923078,4.461538461538462,5.538461538461538,0
journal.pone.0136113.csv,6.166666666666667,8.5,1.3333333333333333,17.5,8.666666666666666,1.8333333333333333,3
